name,description,module,path
"edit-workflow","Edit existing BMAD workflows while maintaining integrity","bmb","_bmad/bmb/workflows/workflow/workflow-edit-workflow.md"
"rework-workflow","Rework a Workflow to a V6 Compliant Version","bmb","_bmad/bmb/workflows/workflow/workflow-rework-workflow.md"
"validate-max-parallel-workflow","Run validation checks in MAX-PARALLEL mode against a workflow requires a tool that supports Parallel Sub-Processes","bmb","_bmad/bmb/workflows/workflow/workflow-validate-max-parallel-workflow.md"
"validate-workflow","Run validation check on BMAD workflows against best practices","bmb","_bmad/bmb/workflows/workflow/workflow-validate-workflow.md"
"design-thinking","Guide human-centered design processes using empathy-driven methodologies. Use when the user says """"lets run design thinking"""" or """"I want to apply design thinking""""","cis","_bmad/cis/workflows/design-thinking/workflow.yaml"
"innovation-strategy","Identify disruption opportunities and architect business model innovation. Use when the user says """"lets create an innovation strategy"""" or """"I want to find disruption opportunities""""","cis","_bmad/cis/workflows/innovation-strategy/workflow.yaml"
"problem-solving","Apply systematic problem-solving methodologies to complex challenges. Use when the user says """"guide me through structured problem solving"""" or """"I want to crack this challenge with guided problem solving techniques""""","cis","_bmad/cis/workflows/problem-solving/workflow.yaml"
"storytelling","Craft compelling narratives using story frameworks. Use when the user says """"help me with storytelling"""" or """"I want to create a narrative through storytelling""""","cis","_bmad/cis/workflows/storytelling/workflow.yaml"
"brainstorm-game","Game concept ideation with guided design techniques. Use when the user says """"lets create game design ideas"""" or """"I want to brainstorm game concepts""""","gds","_bmad/gds/workflows/1-preproduction/brainstorm-game/workflow.yaml"
"create-game-brief","Game vision definition workflow through collaborative step-by-step discovery. Use when the user says """"lets create a game brief"""" or """"I want to define my game vision""""","gds","_bmad/gds/workflows/1-preproduction/game-brief/workflow.md"
"game-brief","Game vision definition workflow. Use when the user says """"lets create a game brief"""" or """"I want to define my game vision""""","gds","_bmad/gds/workflows/1-preproduction/game-brief/workflow.yaml"
"create-gdd","Comprehensive game design document creator through collaborative discovery. Use when the user says """"lets create a game design document"""" or """"I want to create a comprehensive GDD""""","gds","_bmad/gds/workflows/2-design/gdd/workflow.md"
"gdd","Comprehensive game design document creator. Use when the user says """"lets create a game design document"""" or """"I want to create a comprehensive GDD""""","gds","_bmad/gds/workflows/2-design/gdd/workflow.yaml"
"narrative","Story-driven narrative design documentation. Use when the user says """"lets create a narrative design document""""","gds","_bmad/gds/workflows/2-design/narrative/workflow.yaml"
"game-architecture","Technical game systems architecture design. Use when the user says """"lets create a game architecture"""" or """"I want to design technical game systems""""","gds","_bmad/gds/workflows/3-technical/game-architecture/workflow.yaml"
"generate-project-context","Generate AI-optimized project context file. Use when the user says """"lets create project context for game dev""""","gds","_bmad/gds/workflows/3-technical/generate-project-context/workflow.md"
"code-review","Adversarial game dev code review. Use when the user says """"lets review this code for game dev issues""""","gds","_bmad/gds/workflows/4-production/code-review/workflow.yaml"
"correct-course","Sprint change impact analysis and planning. Use when the user says """"I want to analyze and plan significant sprint changes""""","gds","_bmad/gds/workflows/4-production/correct-course/workflow.yaml"
"create-story","User story creation from epics. Use when the user says """"lets create a user story"""" or """"I want to create a user story""""","gds","_bmad/gds/workflows/4-production/create-story/workflow.yaml"
"dev-story","Story implementation and testing workflow. Use when the user says """"lets implement story tasks"""" or """"lets write tests for story""""","gds","_bmad/gds/workflows/4-production/dev-story/workflow.yaml"
"retrospective","Post-epic review and lessons learned. Use when the user says """"lets run a retrospective"""" or """"execute epic completion review""""","gds","_bmad/gds/workflows/4-production/retrospective/workflow.yaml"
"sprint-planning","Sprint status tracking file generator. Use when the user says """"I want to generate sprint status"""" or """"lets create sprint tracking""""","gds","_bmad/gds/workflows/4-production/sprint-planning/workflow.yaml"
"sprint-status","Sprint status summary and risk surfacing. Use when the user says """"Summarize sprint-status.yaml for game project and surface risks""""","gds","_bmad/gds/workflows/4-production/sprint-status/workflow.yaml"
"document-project","Brownfield project documentation scanner. Use when the user says """"lets create project documentation"""" or """"I want to document a brownfield project""""","gds","_bmad/gds/workflows/document-project/workflow.yaml"
"gametest-automate","Automated test scenario generator. Use when the user says """"I want to create automated game tests"""" or """"Generate test scenarios for Unity Unreal or Godot""""","gds","_bmad/gds/workflows/gametest/automate/workflow.yaml"
"gametest-performance","Performance test strategy designer. Use when the user says """"lets create a performance test plan""""","gds","_bmad/gds/workflows/gametest/performance/workflow.yaml"
"gametest-playtest-plan","Playtest session planner. Use when the user says """"lets create a playtest plan"""" or """"I want to schedule gameplay testing""""","gds","_bmad/gds/workflows/gametest/playtest-plan/workflow.yaml"
"gametest-test-design","Game test scenario creator. Use when the user says """"lets create game test scenarios""""","gds","_bmad/gds/workflows/gametest/test-design/workflow.yaml"
"gametest-framework","Game test framework initializer. Use when the user says """"lets create a test framework"""" or """"initialize game testing infrastructure""""","gds","_bmad/gds/workflows/gametest/test-framework/workflow.yaml"
"gametest-test-review","Game test coverage reviewer. Use when the user says """"lets review game tests"""" or """"I want to evaluate test coverage""""","gds","_bmad/gds/workflows/gametest/test-review/workflow.yaml"
"quick-dev","Flexible development workflow - execute tech-specs OR direct instructions with optional planning. Use when the user says """"lets implement this feature"""" or """"execute these development tasks""""","gds","_bmad/gds/workflows/gds-quick-flow/quick-dev/workflow.md"
"quick-spec","Conversational spec engineering workflow - ask questions, investigate code, produce implementation-ready tech-spec. Use when the user says """"lets create a tech spec"""" or """"I want to create a technical specification""""","gds","_bmad/gds/workflows/gds-quick-flow/quick-spec/workflow.md"
"testarch-atdd","Generate failing acceptance tests using TDD cycle. Use when the user says """"lets write acceptance tests"""" or """"I want to do ATDD""""","tea","_bmad/tea/workflows/testarch/atdd/workflow.yaml"
"testarch-automate","Expand test automation coverage for codebase. Use when the user says """"lets expand test coverage"""" or """"I want to automate tests""""","tea","_bmad/tea/workflows/testarch/automate/workflow.yaml"
"testarch-ci","Scaffold CI/CD quality pipeline with test execution. Use when the user says """"lets setup CI pipeline"""" or """"I want to create quality gates""""","tea","_bmad/tea/workflows/testarch/ci/workflow.yaml"
"testarch-framework","Initialize test framework with Playwright or Cypress. Use when the user says """"lets setup test framework"""" or """"I want to initialize testing framework""""","tea","_bmad/tea/workflows/testarch/framework/workflow.yaml"
"testarch-nfr","Assess NFRs like performance security and reliability. Use when the user says """"lets assess NFRs"""" or """"I want to evaluate non-functional requirements""""","tea","_bmad/tea/workflows/testarch/nfr-assess/workflow.yaml"
"teach-me-testing","Teach testing progressively through structured sessions. Use when user says """"lets learn testing"""" or """"I want to study test practices""""","tea","_bmad/tea/workflows/testarch/teach-me-testing/workflow.md"
"testarch-test-design","Create system-level or epic-level test plans. Use when the user says """"lets design test plan"""" or """"I want to create test strategy""""","tea","_bmad/tea/workflows/testarch/test-design/workflow.yaml"
"testarch-test-review","Review test quality using best practices validation. Use when the user says """"lets review tests"""" or """"I want to evaluate test quality""""","tea","_bmad/tea/workflows/testarch/test-review/workflow.yaml"
"testarch-trace","Generate traceability matrix and quality gate decision. Use when the user says """"lets create traceability matrix"""" or """"I want to analyze test coverage""""","tea","_bmad/tea/workflows/testarch/trace/workflow.yaml"
